tier,puuid
MASTER,H_cOwn0a_gyg3ZmAf3F32BduzhLFH_kBff7ZkcMQ-22XvZWIzb-zEVg8cJZBScFr2nN83gXs4wfmHw
MASTER,BzyEMoqoKTmb1G-qgJpTUoNZcvpxmXykiKfRKHyqZXcPI01k9wKsBxGabfbHlHKfJjPXmYlPBJzXPw
MASTER,LkGSU8z6mZv96i2LaJ5_TjjbASkpv1_82La9DM1pqzcNAUqMrAmA53224jKU_lvesxXOTxzui7uJnQ
MASTER,Yoq4qfq8ueWcmGF-BYBKakg0a8btafvJgcAXC5mOj0Bx93gyar0p-bQVe-vsaKd9dKx5f_lAzpXcyw
MASTER,jVY76sLV8JAKVHhTA8cSaXgqDUFWb17Ohx9P0oMDda_5ujz-7DuhsAJFGkGQBo4oYsKiBB8IXCbsuA
MASTER,umd948qM0EHP99zVcXEM9ykPO-KVTpoyHSvtVEw8H62Cgr5dDx0qwDtRKiezwymu7o1Sli8v6ZtR_A
MASTER,RyIGJBza0-mzL5AnoPdweuT8qz1mX6iXGDya_hmqWu4u0bibjpq1LKs_B6cUWXEX_q3E0FXJc21kdw
MASTER,Ev8FyjsuQEGD2vafsve9um6tQ5sjoaKKBW07jShEZwu1guD5OSNmceP2gPebmFecTbbSpSHNKFITPA
MASTER,Y0vwXuFAzA4nNmnmeJmWM8fWduiyJGtwOypISrb2wgtP6UUN7yDdcTHAREd7O_Sk8McFCBIDbXL8jQ
MASTER,p4GoZ9TwCNkUIyhQxXa0sWmJWWcMcXwcAyvjTxbW9iXVZFEBsP-QXgPg30tkEsNVQiu7WCmKLcgmRA
MASTER,f-7wZlXEW8XrY1JAgvnr075NKac7izyRbfwwN8mpr-oNnBl7YT7k1a6LPCAcKB2xjlD4kDilc_KPXg
MASTER,oiRdsl3fVD7Tvtn4ed9IyLMnNpQEuBSaTA-83Zna-LOyVz7dwTzpKA2jyS35Klm4D_YzfeK_8yK1sw
MASTER,89Tg0q_Bbec50lHtbHlMUjGxHvEvsBp1_VTrMmWTJCELQHv2EYJ04l0O83sFoxplMd6af-Xgxret2w
MASTER,cQqoEGifglWNg_RIWD1Rvks8KPPBKQvb6edZLsWAgmo4kl6yxDzgoWniRuiK2a809dU2XoZoPuVcTg
MASTER,Q3s3LrSnVhjug9GAS_FqVaCec7tztMOylRh9FWSm_ZpGES5YW7gn5yj_Mhkmxt07tn76KAQCUx7iWw
MASTER,XcBghOkMvKJtLJWMq_gPOFha-rabOpvEA0FVY0QKUwjC19M8ynr4mTn1SCLQmriSZYVrjQn1UTYKvQ
MASTER,5pPLzshjuZ_jSChR108pqsDlTWpp12lLNA2U5Nj_FRbcsXObrQmvzoNgLmAWR7mJI3cBhgn5uUnA1Q
MASTER,dFl2Ly6VmRsRAcvaPXsdEmJXaymHOtNQ0u-YO4JJ5dHtEGkta2BUhWAONU0eM2LHp8GLmOFL0IWa0w
MASTER,tOHlQ-YitGADl9i9VRIpN3Y7zoYMkgX7_Znrn0FmbIg6yQxE7iVXp3GSp8QZHPrIMAmKJZ2bfUa6WA
