tier,puuid
GRANDMASTER,Ilqud8JXznyTywWVpsUYav2wV-fNTUjCIjW4qYQqay8-3VOvRrpCMCWiXRgXb8GnQgP8zYCYQ_Nbyg
GRANDMASTER,vr0qMaYbKUuU7H7Gpy5TyoD1nhbBZza1JdnR9D8nv1QHosHRhwG7xu7KZ8i6hqpPbtuafDmm42s-Wg
GRANDMASTER,NV5RloJ9_f0tjRbLg9mYpDboX2ALfMdtuuo_r1sIdKi9-fQQXZFH08mFUCkBVY5gHj5iDrlfITuXpg
GRANDMASTER,HQHGT4w7BxJJBE1UsK0QUwIuLGh1U6U3OvzBw0-S-mCqltVZhBviVhSuqMWZ87yVDvQs8J2oYIyczQ
GRANDMASTER,kZGSRErqon_1PK3kYQYauCVpGD78Z1YbRB6ffE2ajSAFc9_8_n9gMJWs911fyaQFHZv4nI7djzP1RQ
GRANDMASTER,H3doKOEl4ZWF72YzIzJBGgNbbsdJ2stwTpHGwU9ECBZIglUlwUZfMl5eWhwQ1BsOBmhcFvYF0nz6vQ
GRANDMASTER,LqqbGCR0s03em5H-nEykg_KNJ_nwZkVIP2fHDiCYrlS5sF0HMEMTUOoJ___K8WYTHWJUXvg19tz67g
GRANDMASTER,batEEbqGBzsW3Az2IabG56BUmDVwM97g3TqHZerrx_Lx730lZdZw8INOoPoCaxR6D7u-36fJesmfOg
GRANDMASTER,uKaEXgytRH1FjJoNTT00jEUca4fqwEAOda0gO1BpBpKMpbRak4EEQOolhg1hB7qvO_w6IDVuyRqOxQ
GRANDMASTER,-Uz5dLWCELO0M8XO-cS_isfthsCoDL-NQcGb4LJsKspfx2779RK8uBtVlk2_4snQ5GbLsEk4QimFNw
GRANDMASTER,Izer7zHEzFG9W2BUHUt0eineXZ7eVkKA7mtkyEZn0mDNCxO3uo6Hkd64VZCe58b_mCi7CxJDCVxxjQ
GRANDMASTER,GDFTl0lfzDCT8j-gGSyStfomWQ8UTx1Pk_ewHjq1oqs0q_s21L5Rm-BPZOyQtkp96NONHJIqZVlYdA
GRANDMASTER,XV5Q1ppTbJ14IfCoPIz_JNsFemKK8Xe699lHNh1eo9gkRADbj64a5IHvNTYU3YQsMKJyX-KqcfmYoA
GRANDMASTER,onBXDLxqY4Lk1I5OFBQ6JbIfIXCFRv_4T49yMn8_bB1A0Kii-gEXY7JMaP2BTziQPzPddiXVhu-Lxw
GRANDMASTER,53NoIrEXfLN6xEnOoPpvvIkTEKo9ucRhyxQ9H_uYc02FI4UKxXt9wYDYqEN8otUqWB9FhYqc2s75KQ
GRANDMASTER,BxRyrREoYFzL2ZHiw-qRTp0Ft2PyoAWyP9-zCTSXc0XJCJ5r2hgGhWjr6cZl_DRvshAdhgYpOcQ-Xw
GRANDMASTER,qCSK8Qk0_qx9MkcEAm5kfvzwvc8zFRdSHjB5Ou4HhsbXw5x7DpcY0rNpb8Z-EwXAP7BljYeuzoS41A
GRANDMASTER,KlescSDLlfAaR_eRSm06WUR2TmNDNeQmLHRm6KIrine6t_c5qM_Te7NOgSIBNRhNf86YrS_aQpuQ8w
GRANDMASTER,QE3y0lUA0dnhMwlIx0Fmyz7ZbBX9q8RuZH22cvTfL10aPYNjfZhoRQXfZ7ns5QA89EqnH9CZTfuJog
GRANDMASTER,4FGtRVyX0MYC0rjMKgbuyfgz0iBYzhKlXHHiOxlNL09vYn3Hp7gWBqloMaJTA8Bi39MwwIO0HakNpg
GRANDMASTER,0iVfWoweWsg3ZMXIZ7cxwJE3OY1AHNgA8fS52vmXm0C2oOQX57DDmeNbJcbZ4Uws3i6vP9PxIN_YPQ
GRANDMASTER,Uf1yp2RTC173O4ut7xrV1E_Dt5We0Ypx_ewRwfdlfLJVbRa54urcFnlOye7Fn-YAL49WPK-UCJuNMg
GRANDMASTER,dxM3bD5hV934fyRBvYR3XL4tfPxNT2N5OIfrtR-mCY8_rcg6XcVk_PHjdvjSLFRpLetUyjSTV57hvg
GRANDMASTER,NKEuaFIyBYt5kgkk1tHPFCfDmELcg29Fk9EXEVyUG6nmeBa4b71sY5wNERsuRVcF4CQphvM8B4lMAw
GRANDMASTER,1iaZrdkCzZbR8Jma4p3kjVkDykcXNqMYQLwvr0WXCh3WYgRUplXaslPeMxIO9yDh_n74YmYmQeTO5g
GRANDMASTER,WA3AurJPRj1Z7RXj0QzdhpO5J6OSAr7MkSY3jUc4EzxhcQW68eMzvDUeB5JfPqB_B0gFTldzcYST9w
GRANDMASTER,ZIhlpoQx2ODWTR6mxipD6B-rTnBW-J_D3r4cc9AbrFCsKZKPCVq1dR3gXagvpYnFrLVvLijYriA3oA
GRANDMASTER,RnQwS7uYjGqGFhew34kPk7uKe9lX8nupmhS9mmlcfS7zb9XVTRzb3zcahiJT57hr-vY63DRRucUnkw
GRANDMASTER,vIqVdjZFN6F7l_uR8QwikosShQMQXq51opIfGrBYxpbpOyjhTGfOCtjbhMehCjFy80nRoiQdhschWg
GRANDMASTER,a-__panKMHT_lXvBXcKhBnfRBh2TpGKqqMVpIZgyBaU4xqyZkiNDfe3R-pB060qq5s6leREiZ1ys6Q
GRANDMASTER,HfodruPkELH_X7zNRg-oeZpzp6xhe_10A8r4FEFEvOkEDMkuaAxUXJcZkWRaGmTEV_5MacdBkMiPYA
GRANDMASTER,6_P-V1OG1DUK0YnVAvgzUWZqryroJXMDnTBaFgc3at9CecnyLKAbWQDltDjuU46z24d9JJ588h2NYg
GRANDMASTER,dGLyfPOUdLc5fS51tZ7W5VYVrSFbZcFK3q4OQfn_78vvgnK89yVHsj537CpizFOrf8uiOFO17rKe9w
GRANDMASTER,R-s2ZbAMsSephtdiqZ4aRzEgK7TWQRzXKzcd4wpE96N9GEXR0FBrvKCNIT2-GEP__7-iXionSaGHFw
GRANDMASTER,8HOeVgN_u49WmeN2RlohjhXMi-FjuszrwIkWY34hCI65JhmiVjLkwiYwYz_S7iEZE3w-mnay6WuQcA
GRANDMASTER,BkqNKcywejHrT_armKY7rI4ehCGSxt1MOxmVUburqrgetQSY5vBJUZ9QjQy3p05_H4xmGvIuc3aU6w
GRANDMASTER,8pkeCYp-9MFlCGWOpJ-joHg2dgdMT7owPWeDu2brorRRiVWhGbaFPcKDhjDlzseCGakDDvLimBg1Iw
GRANDMASTER,Y3BP5pO7B6nA4AtyqTrCrsQZZh7rsRHyED3sbHp9o6IYn9keXPmjcKY7kGoH2_qRSJiAdj7K50R8qw
GRANDMASTER,-kRRfsnwXRugGSrHkpmAJsnLlaKwgx1dS6Zm9_CH_bAdK_S1N9OLrPrQVvShzTC2Os5NA5dm3Wyyjg
