tier,puuid
GRANDMASTER,YfHivSyuCoGqNvextpz7w7uug5QF_Be7GiJQsKw3HDrUZO52IESnZ4knzTdRCh1XCo0AEhTa2p_7ag
GRANDMASTER,H3doKOEl4ZWF72YzIzJBGgNbbsdJ2stwTpHGwU9ECBZIglUlwUZfMl5eWhwQ1BsOBmhcFvYF0nz6vQ
GRANDMASTER,ZaMw1FEx3ZC6ph4SPgPjT2z8ewzw_JNrhM5Dh7Oy9uWC0ELn8HPa_H_D9uUtli--LF8YjKX1ErDySQ
GRANDMASTER,8HOeVgN_u49WmeN2RlohjhXMi-FjuszrwIkWY34hCI65JhmiVjLkwiYwYz_S7iEZE3w-mnay6WuQcA
GRANDMASTER,cnWHZ6BPNZXHkhJvtxfVXxhig2FNYW2iZyphYauxLVZBVM6HzFvLS6qjmO4vrS0U5kiAxXRPc3fizg
GRANDMASTER,vhMwbucNhtcr37cunB0we4r3F1Dsls-U2vrx-UB5aSnw8o5o4VenptcrOvCrzo43GQz0jqg4NXVCMg
GRANDMASTER,PmK9pSPYwfm1xLjZHa2C-R4Rhm6V63V4Wc0Ez6GuNyOQ_sAMzX47R8RXjE0tKg-yc_hR9LXaJoqkGw
GRANDMASTER,ooXoOuocTce_3gbDkK4A-UCUPBcA8l7I53vEPELQ6IgnHvJJhfwoxLx81HHYFdwhcqiP8t5bCKIcYQ
GRANDMASTER,7K07d6EJvlznuSdJhg375gCFbSVNEcbH6gHrIz1ROk3xv9lGn17WbdNPRNFvVpIDdbQYJlYEiYTf_w
GRANDMASTER,BbmlibXceIHjd3i812BXIXAtR2yLPbRJayG2OQTfxmuwJvdKMN5OwJ0BiulWFQfb9uIigjUGiX0Mhw
GRANDMASTER,NKEuaFIyBYt5kgkk1tHPFCfDmELcg29Fk9EXEVyUG6nmeBa4b71sY5wNERsuRVcF4CQphvM8B4lMAw
GRANDMASTER,NFf3-X2pPeiQ_IZAGehU0whvteN-9YiG3HVm5tTjKFSO0oQvaRhQ4d3ix020ZFdwT-FfU9DzC97SaA
GRANDMASTER,3jCX9FJopQhm-_x_BeKslMW9TkyuZ0BBDQSXTUIzhg19LOJFCeDkf-xyngf_qdV3fzgKX67WxHfLtg
GRANDMASTER,GDFTl0lfzDCT8j-gGSyStfomWQ8UTx1Pk_ewHjq1oqs0q_s21L5Rm-BPZOyQtkp96NONHJIqZVlYdA
GRANDMASTER,YxV-8f9gtqi4U60bFRQzN9NbQC79NpuLJEDAeCZ6kokZG6v8OhN-p4S8xcbaEsR9TI51UTK4y1nMGw
GRANDMASTER,vNisUFPh4P5viraVM9zzagFQA-V2wNJ9lfQI_eID5Lojuu2sCTHlO_1-Q6UGwt7zM8ox5K-6oKB4tQ
GRANDMASTER,zUNLpegfpDVTmrKGW1oBlYCPdmaUfXXJpErECR22o7yGRVpBlN7UX05xlfXdQrgQGBRU9pIOviQuaw
GRANDMASTER,GweGHsmQjErqPP_RsPK6rkZP9Qi6WXgRt5DQzZDmtFJFXmgbR6i4DImDXBa5dOfuqCiv7qHlI5RXDw
GRANDMASTER,CaWgIzoi93tuvdvQi8og_FSitnlD8tL-Y2CrsDOgpDropzlFausAH6tgId52i33EaE192YoWbk4Hlw
GRANDMASTER,V9Hg0f6GUI73YYhrS6DcC6QenpnSKgsArnMcsJUmtCTFftHCD0XVO3NFfujNMyV_SHJaMlTqSKTI4w
GRANDMASTER,VqbwNalwYW8nJlJw-JVRHHisL-lJOW3iid8nPWmGymnCDV1Cgsrx9EWRYc8gw0lllZneKA-r6QAUYw
GRANDMASTER,qgoc-TlXK8v94qZRSAB9KI_77KnkRr3wzkGjZm9BOQZgh5vuKSErF3XxYPMG8_AxGuUGBT5KJW6DlQ
GRANDMASTER,4WIcMVH2Wz8e7pCSSfiR9q0aNJrrlNqSa3y6TNrGPTJ8mtXeZigtCNjU14q6xj-o6p1plILeFAY4SA
GRANDMASTER,q2NAUpGVwW12oPj1bxAfzkVOfLFdydO9IaOnDP6be4c-BY9u9Fosp1fdm7s03degz8t1NcyTXL9X2Q
GRANDMASTER,1TeGn6sJWNlKTIb-RopjUonKd72fRugtbQJeCcVpQMObfo_gYdcOGoU3yKKSYnSzVbVP0UrjzrNl4Q
GRANDMASTER,h9rUsgxpAZFWI6-sA7gd1u00xacqtFHYVuZ4IXvU8nyvDtwNLe_fb3TBfTun3079599Ni0HsZtCulQ
GRANDMASTER,tSrCKZzjX0oqg3q_32Jlo2BKe4AgHA1yyTa5aM030Tv1m3_s27iCY1sqkcYAjhb5N9kIobCqaLqbpA
GRANDMASTER,Kozodgu6Fpq6ThoOG4KD8pRq_3_jlgKshoKdy2mH-MdTMd1_bJYA2m9CskxbEVmHQo_x4UfW0S4mTA
GRANDMASTER,sLdTu4-sgrI0S3QtksOKWd7IypSvywkeXS2fMwHNzYdv3fgyKj6K25FyMKh2-_2UOtJNl_RihmeJ9A
GRANDMASTER,kZGSRErqon_1PK3kYQYauCVpGD78Z1YbRB6ffE2ajSAFc9_8_n9gMJWs911fyaQFHZv4nI7djzP1RQ
GRANDMASTER,m7TiuC3-4JUM_o7iibAPUOAmZzeZ8j3cfc_2EuhQ-o3O0j1pkPELvo84z1I6vz9Q5X4HkxhJs8Zp2g
