grow_policy,max_depth,max_leaves,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,accuracy,auc,best_iteration,complexity
depthwise,6,0,0.01,5,0.8,0.8,0.0,1.0,0.6877684110068395,0.7601159883542057,3240,6
depthwise,4,0,0.01,10,1.0,1.0,0.1,2.0,0.6866550023858756,0.7601130913778698,5074,4
lossguide,0,32,0.01,5,0.8,0.8,0.1,2.0,0.6869731191347225,0.7600945456690987,3396,32
lossguide,0,32,0.01,1,0.8,0.8,0.1,2.0,0.6867345315730873,0.7600776571825987,3485,32
lossguide,0,32,0.01,10,0.8,0.8,0.0,1.0,0.686814060760299,0.7600447530976647,3046,32
depthwise,4,0,0.0025,10,1.0,1.0,0.0,2.0,0.6871321775091459,0.7600399079363692,19998,4
depthwise,4,0,0.005,10,1.0,1.0,0.1,1.0,0.6858597105137586,0.7600258152217916,9983,4
depthwise,4,0,0.01,1,0.8,1.0,0.1,1.0,0.6847463018927946,0.760024588118278,3516,4
depthwise,4,0,0.0025,10,1.0,1.0,0.0,1.0,0.6856211229521234,0.7600050683170273,19966,4
depthwise,6,0,0.01,5,0.8,0.8,0.1,1.0,0.6860982980753937,0.7599939105304406,2965,6
depthwise,4,0,0.01,1,0.8,1.0,0.0,1.0,0.6836328932718307,0.759965623896872,3518,4
lossguide,0,32,0.01,10,0.8,0.8,0.1,2.0,0.6849848894544298,0.7599585142868246,3045,32
depthwise,4,0,0.005,1,1.0,1.0,0.0,2.0,0.6851439478288532,0.7599397155670201,9544,4
lossguide,0,32,0.01,5,0.8,0.8,0.0,2.0,0.6856211229521234,0.7598776013582441,3328,32
depthwise,6,0,0.01,5,0.8,0.8,0.0,2.0,0.6876093526324161,0.7598478725617833,2801,6
depthwise,6,0,0.01,10,0.8,0.8,0.0,2.0,0.6860187688881819,0.7598429894488328,2946,6
depthwise,4,0,0.01,10,1.0,1.0,0.1,1.0,0.6855415937649117,0.7598361455003708,5191,4
depthwise,4,0,0.005,1,1.0,1.0,0.0,1.0,0.6877684110068395,0.7598211925482785,9262,4
depthwise,4,0,0.0025,5,1.0,0.8,0.0,2.0,0.6852234770160649,0.7598111986124471,16095,4
depthwise,6,0,0.005,1,0.8,0.8,0.0,1.0,0.6842691267695244,0.7597461115240252,4760,6
depthwise,4,0,0.005,5,1.0,1.0,0.1,2.0,0.6857006521393352,0.7597139032194338,8701,4
depthwise,4,0,0.01,1,1.0,1.0,0.0,2.0,0.6869731191347225,0.759689677412956,4800,4
depthwise,4,0,0.01,10,1.0,1.0,0.0,2.0,0.6860187688881819,0.759684731047247,4775,4
