tier,puuid
MASTER,NtORQSJAk-EFRxWc0LJS1U3Opyl4qi3iiLTbecD2Dc6I60fDjb7coe4x5qxcf_OsROf2uG4DFBlqHQ
MASTER,G9QcLjfXOpLpLBBZdiQONLuKspBupyrnn77EyDGRqRsWy40Bp79K_2v6wHkiRvekBc58S0c5psqAPQ
MASTER,_Pq70QD_w-CLWUFTtgFWmT1zqf54EGO7oAwRFeADEEChK7DB2lRpR4CTcYZKIW3CP6bN948eia8MbA
MASTER,LZ8-bvxPy6WDPL-_9wSMqh8zMyedhXKVyn80dOaPfCEvbkZZ8oKfARzGr7dWyvKUWfcPwn3gRSPHvw
MASTER,VVV2MO8lTChyTf7X96rQOYO-cBUYmnqvJiwJJJMxK-hgbiO0EuTwjCEO5OqE36erLFMo8PfHCYU34w
MASTER,mg6TBM54yn24p2Z3lytgJdDCyc-b-320B_wc3oH8yBbr3k6YrL58c93XpBhekuJONKdRMrkPMNTOMw
MASTER,-SZu1O2jyJtTEEcakCPhkbDzps6POBYTQLiOBlRv8xQgRE52cvW6wOvkAiXyZR5wPQACJ_gPGQq8rg
MASTER,7YwZ6mReZTBr8AkYHdncZPr_t1kismLWT54NCxqO5T73o8neAbf50VSkP12MPUZHtX1iqIownLg8Kg
MASTER,8qhW8pO_jNMdOIv3qReyoNkUoYPwkBE9gu0AWRnnN8AORmz26T7QF5xr76anddJLnRR6f_sva4hHIw
MASTER,o9yUDP2U0waQPPbxnfDsOSyECbhHlq_R65X1YsO4fhDnyBEDtwO6fBl7sMNCyrM8XGmA_e1hm8xS0g
MASTER,gqk-X-joT2nYyopuDf5WtamTzQmrv8427SMkpzKnRt8hCpB9kdlYzJ6jPAr5jOJOc2JepXbwIica4w
MASTER,II9rKS3niNU-L-W7UY48Vb6oaGtNXGQCOF-SdTj6aZEQ9d4NZTUITyuDvqpY6IxFbqcyv2EWBdVyVg
MASTER,2AmsQvqbjoanTjPvpGUl0znPve0-PRIGrBiEYnRJ-w7zf4jZXwQiP-FRgp4_eBLMYTPS_EpOKpU15w
MASTER,J6-Oy_D3xHdhznDo-rNdg-x3szyvDLBCfoSqAhLGmQ4d4awsX4S6QRE2i1sSDFK660NF50U8xKFq6Q
MASTER,EEOh2SQK3m-Tx2aQ4QtPDPi7Szj2QJNjgPhSwQkVbJ__CkP08CiHzmUMNLYKjUWP4we_YxHLHqluFQ
MASTER,kGBrfsCTVeYgHXzpBfg7b9zDcybRApAxcxrBD4EyKui_f090BsSAZWYnPfF5j70s9OoQVQwslHZRnA
MASTER,7Ub_errl0cLz9xWzVduk9bxluhRm4qB9AB2eaHBZUhykmQnYM61A1hPjwsB0kj5TrpPSFKweny2WaA
MASTER,XvuJJIvaz0ZvrhERmhAIrMVmGv1oM1LwbVEpakK5Oll2cM-Q9zpnXxjcmj3UyuZXx4rtDKZZuaH57A
MASTER,rCB4H7Tytb81sjoKuO3dozhc1PkLZhebZbZTPgV7bhFWM-7afjfZHDO9X4qrfaRxufODTuCNR-asbw
MASTER,VrAWLqdG-7N6-IaBM3u3Vw1a5raYoyF0xSs34LUUu2yxup3F6GLt9YGIl4E51-WIEC2_pK_JhhlsLg
MASTER,k-WCkZSgwf_jON9IQZlUzyD1v9RCu1thxC5pBz1cQO--dAOE3LAIyqlAwi5ud0pGtFkxuJF-x0IoxA
MASTER,uurMABjaHXxe4ZJ4eL6Z7G1jncSkVFLt_Sc163bGZtH4dHAaiPda2p92ufq33Bo8w9x2DH43MaD0Ww
MASTER,uY0uOhEWE6rTqCgZUKJimOkgGdW5WBzSvk7k-kIp_bW2C7eF86rhkm36_OqY-tFM4l9bFgsHHxY5UA
MASTER,yqfGvcj8GtCtw0Q5D-OqlLLJ9_pBPbScNtG8m432r2RhF3kGMOyb0zxlEGvscutre0kDKJtfimaLNA
MASTER,hdTDhmRyTQtHxJz4QhEYzhlzKDWXQY1P61rK3Q3E6WQhbuw5cfxTmqR3nhqWPq2XZ3PpWP4cNtMzJQ
MASTER,NoXRQ705kXZkR08SjVaifP_TRlE4uKllLd8suU32Jv566lTmMo1861WEIQ02sm8k5o5Es4-fXisy5w
MASTER,0gktvJb-lzvIMBQQdighHQV9Tk3PRSvRoZeiswSPW0yGwVSfMG2PUVYZeh-rKth0uzG-yubPqB8XRQ
MASTER,N1MIy6sw2GBIhfthOofZnqIob03YeF0Z8Q5pxKvDXJGxPmpTHNRAXfiCalhocD3WGqhYpXfyxJdVhw
MASTER,cE_tVt7IppZXJVo158_aA11vftSC2V_Sb8lDYC9YYcodWAbN6bmrKknl0QigmbL-w1RgBa_-1HVJbw
MASTER,qwtQio8lp23F2_iJXoiJ5s8QMoCJOuBxvwrdnjDGu5i6fNYwzRjP3LmF0qBvZD0-plWdStcOr_8wLA
MASTER,GO8dF5_omJgjQPQHFlElcEHTsOkSj_w6M0e6jm0ymNUyZSNcbdPcU7zPElhea3_iOEJofO-r5oy6-w
MASTER,Kdz3z31xNeQU9J4TywFHwFzyPlMPrfah-1-lLYXX5AIWwtUqiVG4OP3i1CpO5O-DWsnHRYg0AhB5-g
MASTER,TONzC7w5Qgk-nrfqBAowgnoTZXmf6nv9kw3la1nz9wOmTeOXexreuwytpbh9tCs_VWMrsjeRmdn6_w
MASTER,pyKlmzaZAeSsps1YspAXx6uk7YndNnOuGA2zXSuKSAi8azyK8NexR7x6_X9Rp7aWDdPjAsTUvJYveA
MASTER,j1EbtT48OzxXNGpBN8dmASKZFOk7zm6HzPzIUzt56ghKklHnvHkcuuesxP0G9zN1sYubnrhY1ltLpQ
MASTER,S_yeJQkZS0Ig3DKEyC7LTDm3ieh_DWrYoy2HRUuOY9YRqVSRG_snzQhKka99BA0D_aIqXbih1V7rbw
MASTER,Per7vTozYmK_Oyl3zlIcGQARS8Yr1M_Kgj4mv-_nyOa9bfLslrUB26IKqkwpUlnkMO_31-YUpFw1gw
MASTER,ZxvixzZCpGKTg0Gd_C_yGKmpHo8oCSzIfT07ddoNjsm9EHRcNsik4151Ju5fAbiPit0i0AbRIZDSbg
MASTER,lQK0yZqesfbPO9IvhnJkDzTnJD17RjhjAG13pPeBv6ZtVKogP2LVnEXf17UVXHxlp01DrxBiIpXjug
MASTER,-THbKTW65Y6vl1ylNXEg-jLa6nez1O-aRlQ5Zgv5SZG7HYTKNsLlLGHegZVrA-o4oTcAPLkG0V9mLg
MASTER,AuGDVVaNDMyZwInir5EqiP-NbLGVD2q4A3supdSLEltEvp07eP2Nai5OgRM-2VdqHshXhsIM5nSqFg
MASTER,Fa01AIgC7kSG3LyVQCGVxHMPzyTwYIqA_J6nze4dtHGCWVl-NHcnFFmdu3YqXZrJjpmJs1s819Vp8w
MASTER,SjeFcu48jB8ZqRcpX69brHHEK4fu0IfQjFYyo1Yl04qWCcmlf1KsMXIgtsYXru-dJQd34lB_pKCHBA
MASTER,l28zTtm8zt-ro0e1cr_YhGdGMCwBIRQlLREpXMxJo3vN-21PUr4ES3NbJ2YC5xI97Kaw1yVWvWujvA
MASTER,vqeDkm0NIOFIu4GlVn_-PqMN9YVtIOryyBn1LQuR32BwDsGUCdf_vU6tRtGg9FPn-egkC21ewTMD3g
MASTER,0pdHJlWeZJZk1r_T8c_8Y4WUnJanwMJUUopaEH8zBbOevll13JxRSWt-B1Gmu5_41MzmLwnMtPSRlQ
